   timestamp          x          y         theta        diff_angle
413.680500 8.0145922 19.0947933 -90.2738190 0.0131607
414.147000 7.6278005 19.0905704 -90.3260651 0.0522461
414.613500 7.2439899 19.0929203 -90.3074875 0.0185776
415.313500 6.6537437 19.0893021 -90.2673264 0.0401611
415.814000 6.2376080 19.0872135 -90.2662964 0.0010300
416.313500 5.8183494 19.0874958 -90.3464737 0.0801773
416.880500 5.3451381 19.0872021 -90.3454590 0.0010147
417.280500 5.0034409 19.0851707 -90.4005280 0.0550690
418.047000 4.3548512 19.0810471 -90.3750610 0.0254669
418.547000 3.9331849 19.0764256 -90.3818893 0.0068283
419.047500 3.5109842 19.0756798 -90.3982849 0.0163956
419.413500 3.1983345 19.0743160 -90.3645096 0.0337753
419.947500 2.7465792 19.0704746 -90.3661194 0.0016098
420.347000 2.4043119 19.0699577 -90.3725967 0.0064774
420.981000 1.8719492 19.0654106 -90.4189072 0.0463104
421.447000 1.4721490 19.0661201 -90.3755569 0.0433502
421.913500 1.0766846 19.0610695 -90.4028397 0.0272827
422.313500 0.7347071 19.0573559 -90.4023514 0.0004883
422.880500 0.2513179 19.0538788 -90.4084625 0.0061111
423.514000 -0.2884324 19.0529842 -90.3949356 0.0135269
424.113500 -0.7957299 19.0463753 -90.3699570 0.0249786
424.614000 -1.2272154 19.0455990 -90.3948669 0.0249100
424.980500 -1.5410619 19.0437450 -90.4054260 0.0105591
425.547000 -2.0246935 19.0383778 -90.4005280 0.0048981
426.013500 -2.4258273 19.0365868 -90.3382645 0.0622635
426.414500 -2.7666879 19.0355530 -90.3187714 0.0194931
426.880500 -3.1690328 19.0331631 -90.3872299 0.0684586
427.314000 -3.5381401 19.0305977 -90.3634644 0.0237656
427.847000 -3.9974036 19.0281315 -90.4042740 0.0408096
428.180500 -4.2787771 19.0267544 -90.3623123 0.0419617
428.713500 -4.7384682 19.0237198 -90.3940201 0.0317078
429.113500 -5.0834718 19.0235710 -90.3488388 0.0451813
429.580500 -5.4873080 19.0274029 -90.1820526 0.1667862
429.913500 -5.7717538 19.0308838 -90.0748138 0.1072388
430.581000 -6.3480549 19.0327778 -89.7554550 0.3193588
430.881000 -6.6004238 19.0316830 -89.7023087 0.0531464
431.414000 -7.0570726 19.0422516 -89.4922791 0.2100296
432.047000 -7.5958080 19.0479832 -89.2562561 0.2360229
432.447000 -7.9405522 19.0573521 -89.0911179 0.1651382
432.980500 -8.4013634 19.0706921 -88.9937668 0.0973511
433.514000 -8.8558159 19.0807247 -88.7364960 0.2572708
433.980500 -9.2561293 19.0916519 -88.5977249 0.1387711
434.380500 -9.6009655 19.1057072 -88.4007568 0.1969681
434.913500 -10.0514736 19.1163673 -88.2087479 0.1920090
435.447000 -10.5109997 19.1391315 -88.0230637 0.1856842
436.080500 -11.0530987 19.1612625 -87.8000259 0.2230377
436.480500 -11.3951063 19.1742668 -87.7044067 0.0956192
437.047000 -11.8791389 19.1902504 -87.9259796 0.2215729
437.547000 -12.3026037 19.1995850 -88.0607147 0.1347351
437.913500 -12.6157436 19.2021656 -88.1734009 0.1126862
438.547000 -13.1620474 19.2151852 -88.3586502 0.1852493
439.213500 -13.7243767 19.1772003 -91.7737122 3.4150620
440.247000 -14.5297756 18.9028931 -103.3176422 11.5439301
441.147500 -15.1652136 18.5330067 -113.6553116 10.3376694
441.980500 -15.6867027 18.1089821 -122.8970566 9.2417450
442.680500 -16.0707359 17.6921196 -130.1748810 7.2778244
443.280500 -16.3399525 17.2878571 -137.4765167 7.3016357
443.813500 -16.5491314 16.9164906 -142.8098145 5.3332977
444.447500 -16.7301273 16.4406815 -150.3687744 7.5589600
444.847000 -16.8114014 16.1369610 -155.1134491 4.7446747
445.347000 -16.8975067 15.7407503 -159.9026489 4.7891998
445.581000 -16.9265556 15.5556860 -162.2367096 2.3340607
445.947000 -16.9602623 15.2652617 -165.4781342 3.2414246
446.213500 -16.9855824 15.0526276 -167.2832642 1.8051300
446.514000 -17.0047855 14.8119669 -169.2327423 1.9494781
446.913500 -17.0039539 14.4976015 -172.7100525 3.4773102
447.247000 -16.9951916 14.2325144 -175.2807007 2.5706482
447.580500 -16.9812679 13.9628086 -177.4531555 2.1724548
447.780500 -16.9617748 13.8031807 -179.0363312 1.5831757
448.180500 -16.9142170 13.4864359 177.6552734 1.3810577
448.714000 -16.8867950 13.0536737 177.4111328 0.2441406
449.147000 -16.8807964 12.6974869 177.7739716 0.3628387
449.747000 -16.8726234 12.2096663 178.3983459 0.6243744
450.313500 -16.8688259 11.7398472 178.9559021 0.5575562
451.513500 -16.8806973 10.7412453 -179.7833252 0.8274231
452.047000 -16.8918724 10.2992630 -179.2073364 0.5759888
452.413500 -16.8990173 9.9886923 -179.0481567 0.1591797
452.880500 -16.9036617 9.5946083 -178.9805756 0.0675812
453.280500 -16.9121742 9.2608442 -178.9961548 0.0155792
453.647000 -16.9185047 8.9530907 -179.0628357 0.0666809
454.047000 -16.9212875 8.6184444 -179.0429077 0.0199280
454.480500 -16.9293346 8.2518024 -179.1020966 0.0591888
455.014000 -16.9322319 7.8031440 -179.0353241 0.0667725
455.480500 -16.9423351 7.4102626 -179.1319427 0.0966187
455.913500 -16.9479027 7.0457706 -179.1405182 0.0085754
456.414500 -16.9541607 6.6184125 -179.1228943 0.0176239
456.847000 -16.9567032 6.2554698 -179.1992645 0.0763702
457.347000 -16.9655647 5.8336420 -179.1148682 0.0843964
457.813500 -16.9689369 5.4388881 -179.1737823 0.0589142
458.080500 -16.9735165 5.2131009 -179.1771393 0.0033569
458.480500 -16.9787979 4.8761840 -179.1197510 0.0573883
458.880500 -16.9807053 4.5364194 -179.1730347 0.0532837
459.180500 -16.9836178 4.2814727 -179.1567383 0.0162964
459.813500 -16.9930954 3.7455072 -179.0924683 0.0642700
